estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-07-28,29.2,21.6,89.32,483.76,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-29,29.8,20.8,87.04,275.91,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-30,26.4,21.6,92.62,564.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-31,28.8,22.2,89.53,317.45,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-08,29.6,20.4,88.68,428.21,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-08,31.6,22.0,80.44,649.21,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-08,31.6,24.0,79.02,435.68,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-08,29.8,22.3,87.77,269.23,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-08,28.6,22.14,91.49,306.62,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-08,30.5,20.8,86.15,475.84,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-08,31.6,22.2,79.96,355.63,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-08,31.8,19.6,80.82,203.58,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-08,30.0,24.2,81.95,218.21,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-08,32.14,22.6,82.73,431.46,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-11-08,30.2,22.2,84.44,409.71,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-12-08,32.4,21.96,76.17,480.47,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-13,30.38,21.8,83.93,381.72,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-14,25.4,22.2,94.02,306.31,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-15,29.6,20.4,88.68,396.88,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-16,27.6,22.0,94.4,343.43,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-17,26.0,20.4,91.74,242.05,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-18,32.1,22.0,81.0,483.25,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-19,32.3,21.8,79.62,467.34,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-20,28.3,22.7,91.69,239.22,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-21,32.2,21.6,80.7,390.38,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-22,30.2,21.4,87.68,321.68,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-23,32.8,21.0,77.16,538.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-24,31.8,20.6,83.31,381.43,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-25,28.6,20.2,87.56,239.22,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-26,30.2,21.2,88.94,289.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-27,27.8,20.8,85.83,211.17,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-28,31.6,21.4,79.17,490.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-29,29.0,22.8,89.44,306.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-30,29.0,20.8,84.33,232.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-31,29.0,21.4,84.56,284.62,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-09,30.8,20.4,77.0,479.12,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-09,30.8,22.4,82.83,270.09,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-09,28.5,22.0,83.31,296.73,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-09,31.5,21.6,76.58,424.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-09,31.0,21.4,84.27,467.77,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-09,27.8,21.0,89.63,354.52,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-09,33.4,22.2,70.45,600.28,-73.467917,4.057361,NO
